Source sentence,Answer sentence
"replace entity to label : Tap waters were classified as Ca-HCO3 and Ca-Mg-HCO3 types , reflecting the weathering of the local dolomitic limestones and silicate minerals .","replaced sentence is : Tap waters were classified as RockType and RockType types , reflecting the weathering of the local StratigraphicGroupType and silicate minerals ."
"replace entity to label : The incorporation of Rn-222 to the study also allowed identifying the impact of irrigation returns through the association of moderate NO3 , CI , and Br contents with very low Rn-222 activities .","replaced sentence is : The incorporation of Rn-222 to the study also allowed identifying the impact of irrigation returns through the association of moderate NO3 , CI , and Br contents with very low Rn-222 activities ."
"replace entity to label : The Japanese and European shales normalised REE diagrams of all groundwater samples show great similarities attributed to the presence of common major minerals such as calcite , dolomite and gypsum .","replaced sentence is : The Japanese and European shales normalised REE diagrams of all groundwater samples show great similarities attributed to the presence of common major minerals such as calcite , dolomite and gypsum ."
replace entity to label : Silicate and carbonate weathering were identified as main mineral sources for major ions in groundwater .,replaced sentence is : Silicate and carbonate weathering were identified as main mineral sources for major ions in groundwater .
replace entity to label : The origin of the barium is probably natural and possibly related to the dissolution of the carbonate cement in the Marilia Formation sandstones .,replaced sentence is : The origin of the barium is probably natural and possibly related to the dissolution of the carbonate cement in the GeologicAge StratigraphicGroupType .
"replace entity to label : The surface sediment is silty sand , mainly Aeolian , referred to as Pampean Loess , which is a phreatic aquifer unit of utmost importance for the water supply of the region .","replaced sentence is : The surface sediment is silty sand , mainly AquiferType , referred to as AquiferType Loess , which is a GroundwaterType unit of utmost importance for the water supply of the region ."
"replace entity to label : Thermal groundwater is mainly Cl center dot SO4-Na type , with high TDS , while non-thermal groundwater is mostly HCl3-Ca center dot Mg and HCO3-Ca type in the Daying and Qicun regions , respectively .","replaced sentence is : HydrochemicalType is mainly RockType type , with high TDS , while HydrochemicalType is mostly RockType and RockType type in the AquiferType , respectively ."
replace entity to label : The study demonstrated widespread stratification within the floodplain : shallow ( <8 mbgl ) deposits are highly permeable ( 100 m / d ) ; deeper deposits have low permeability ( 1 m / d ) and limit interaction with the underlying sandstone aquifer .,replaced sentence is : The study demonstrated widespread stratification within the floodplain : shallow ( <8 mbgl ) deposits are highly permeable ( 100 m / d ) ; deeper deposits have low permeability ( 1 m / d ) and limit interaction with the underlying GroundwaterType .
"replace entity to label : The hydrochemical study made it possible to allot the evaporitic origin to the elements Na+ , Mg2+ , K+ , Cl- , and SO4 ( - ) , while for element HCO3 ( - ) , it results from the carbonated formations .","replaced sentence is : The hydrochemical study made it possible to allot the evaporitic origin to the elements Na+ , Mg2+ , K+ , Cl- , and SO4 ( - ) , while for element HCO3 ( - ) , it results from the GeologicAge ."
replace entity to label : The variation of hydrochemical types and the difference of Cl- and TDS suggest that the groundwater in the Neogene aquifer flow from the Xutuan coal mine to the Renlou coal mine .,replaced sentence is : The variation of hydrochemical types and the difference of Cl- and TDS suggest that the groundwater in the GroundwaterType flow from the AquiferType to the AquiferType .
"replace entity to label : The distinct depletion of sulfate in groundwater , likely due to bacterial sulfate reduction , can also be explained by EMMA .","replaced sentence is : The distinct depletion of sulfate in groundwater , likely due to bacterial sulfate reduction , can also be explained by EMMA ."
"replace entity to label : This work presents the hydrogeochemical characterization of groundwater from the northeast region of the GAS used for human public supply in Sao Carlos ( Sao Paulo , Brazil ) based on samples from 27 deep boreholes .","replaced sentence is : This work presents the hydrogeochemical characterization of groundwater from the northeast region of the GAS used for human public supply in AquiferType ( AquiferType , AquiferType ) based on samples from 27 deep boreholes ."
replace entity to label : Natural conditions and human activities have caused serious quality degradation of the Quaternary aquifer in the north of the United Arab Emirates ( UAE ) .,replaced sentence is : Natural conditions and human activities have caused serious quality degradation of the GroundwaterType in the AquiferType ( UAE ) .
"replace entity to label : The fresh waters of the crystalline basement have a low mineralization , commonly less than 100 mg / L; they are a HCO3-Ca-Mg or SO4-Ca-Mg type of water .","replaced sentence is : The fresh waters of the crystalline basement have a low mineralization , commonly less than 100 mg / L; they are a RockType or RockType type of water ."
replace entity to label : The tunnel is located at the Kerman Cenozoic volcanic belt as a southern part of Urmia-dokhtar volcanic belt .,replaced sentence is : The tunnel is located at the AquiferType as a AquiferType .
"replace entity to label : According to its major components , groundwater in the ultramafic rock is of bicarbonated-magnesic type .","replaced sentence is : According to its major components , groundwater in the StratigraphicGroupType is of RockType type ."
replace entity to label : Sixty-two groundwater samples from the unconfined aquifer and fifty-six from confined aquifer were collected during the pre-monsoon ( June 2016 ) .,replaced sentence is : Sixty-two groundwater samples from the GroundwaterType and fifty-six from GroundwaterType were collected during the pre-monsoon ( June 2016 ) .
"replace entity to label : The aquifer sequence comprises of clay , silt , different grades of sand and gravel in varying proportions .","replaced sentence is : The aquifer sequence comprises of clay , silt , different grades of sand and gravel in varying proportions ."
replace entity to label : Comprehensive hydrochemical analysis methods are adopted to determine the dominant factors controlling the chemical evolution of the local phreatic groundwater and the potential impact of human activities on groundwater quality .,replaced sentence is : Comprehensive hydrochemical analysis methods are adopted to determine the dominant factors controlling the chemical evolution of the local HydrochemicalType and the potential impact of human activities on groundwater quality .
"replace entity to label : The water in karst aquifers ( Sarmatian and Upper Jurassic-Lower Cretaceous ) is of hydro carbonate calcium and calcium magnesium type and of low total dissolved solids ( TDS ) , while for the other aquifers the TDS is significantly higher and the water chemical composition is different .","replaced sentence is : The water in GroundwaterType ( Sarmatian and Location ) is of hydro RockType and RockType type and of low total dissolved solids ( TDS ) , while for the other aquifers the TDS is significantly higher and the water chemical composition is different ."
"replace entity to label : 124 samples collected from the tertiary confined aquifer ( N ) , quaternary confined aquifer ( Q ( 1 ) ) , and quaternary phreatic aquifer ( Q ( 3 ) ) during surveys in 2001 and 2017 was analyzed using hydrochemical , statistical , spatial , and health risk assessment methods .","replaced sentence is : 124 samples collected from the GroundwaterType ( N ) , GroundwaterType ( Q ( 1 ) ) , and GroundwaterType ( Q ( 3 ) ) during surveys in 2001 and 2017 was analyzed using hydrochemical , statistical , spatial , and health risk assessment methods ."
"replace entity to label : Ultrabasic rocks enrich groundwater with magnesium while intense hydrothermal activity and extensive alteration zones , which exist locally as a result of a recent volcanic activity , are associated with the existence of sulphate type groundwater and acidic pH in some areas .","replaced sentence is : StratigraphicGroupType enrich groundwater with magnesium while intense hydrothermal activity and extensive alteration zones , which exist locally as a result of a recent volcanic activity , are associated with the existence of sulphate type groundwater and acidic pH in some areas ."
"replace entity to label : The results indicate that the order is Ca2+ > Na+ > Mg2+ >K+ and HCO3- > SO42- > Cl- for cations and anions , respectively .","replaced sentence is : The results indicate that the order is Ca2+ > Na+ > Mg2+ >K+ and HCO3- > SO42- > Cl- for cations and anions , respectively ."
replace entity to label : Goals .,replaced sentence is : Goals .
replace entity to label : Geochemical ratios revealed strong adverse effects of chloride ( Cl- ) and sulfate ( SO42- ) on groundwater salinization throughout the state .,replaced sentence is : Geochemical ratios revealed strong adverse effects of chloride ( Cl- ) and sulfate ( SO42- ) on groundwater salinization throughout the state .
"replace entity to label : Groundwater analyses at depth 3.5 m show high concentrations of HCO3- , Ca2+ and Sr2+ due to dissolution of shell debris .","replaced sentence is : Groundwater analyses at depth 3.5 m show high concentrations of HCO3- , Ca2+ and Sr2+ due to dissolution of shell debris ."
replace entity to label : Results demonstrate that water chemistry type and isotopic data of phreatic water presents a zonation characteristic from west to east and from south to north .,replaced sentence is : Results demonstrate that water chemistry type and isotopic data of phreatic water presents a zonation characteristic from west to east and from south to north .
"replace entity to label : There are three distinct geological formations in the quarry : limestone layer , interbedded layer of limestone and slaty greenstone , and slaty greenstone layer as basement rock .","replaced sentence is : There are three distinct geological formations in the quarry : GeologicAge , GeologicAge of StratigraphicGroupType and StratigraphicGroupType , and GeologicAge as basement rock ."
replace entity to label : The salinity and nitrate concentrations of the Saq Aquifer's groundwater were found to increase in the outcrop areas more than the confined areas .,replaced sentence is : The salinity and nitrate concentrations of the HydrochemicalType were found to increase in the outcrop areas more than the confined areas .
"replace entity to label : In this study , a combination of onsite monitoring and indoor experiments was used to analyze the variation characteristics of the hydrochemical composition of pore water during riverbank infiltration , as well as the main hydrochemical effects and influencing factors .","replaced sentence is : In this study , a combination of onsite monitoring and indoor experiments was used to analyze the variation characteristics of the hydrochemical composition of HydrochemicalType during riverbank infiltration , as well as the main hydrochemical effects and influencing factors ."
replace entity to label : Calculated saturation indices show that the main hydrogeochemical processes were the dissolution of carbonates and evaporites and the precipitation of Fe-rich minerals .,replaced sentence is : Calculated saturation indices show that the main hydrogeochemical processes were the dissolution of StratigraphicGroupType and StratigraphicGroupType and the precipitation of Fe-rich minerals .
replace entity to label : The area comprises Palaeozoic and Precambrian rocks partly covered by moderately permeable till .,replaced sentence is : The area comprises StratigraphicGroupType partly covered by moderately permeable till .
"replace entity to label : The overburden of basement rocks above the tunnel axis is up to 850m thick and the tunnel cuts across granite , diorite , andesite , trachyandesite and flysch rocks .","replaced sentence is : The overburden of basement rocks above the tunnel axis is up to 850m thick and the tunnel cuts across StratigraphicGroupType , StratigraphicGroupType , StratigraphicGroupType , StratigraphicGroupType and StratigraphicGroupType ."
"replace entity to label : The high concentrations of nitrates and chlorides are indicators of anthropogenic pollution , The use of principal component analysis and hierarchical cluster analysis has shown that two main factors accounting 67.13% of the information of variability within the dataset confirm the existence of dissolution of evaporitic minerals and the mechanisms of nitrate increasing the salinity of the Manouba groundwater .","replaced sentence is : The high concentrations of nitrates and chlorides are indicators of anthropogenic pollution , The use of principal component analysis and hierarchical cluster analysis has shown that two main factors accounting 67.13% of the information of variability within the dataset confirm the existence of dissolution of evaporitic minerals and the mechanisms of nitrate increasing the salinity of the HydrochemicalType ."
replace entity to label : Preliminary mass balance modelling suggests that between 10 and 38% of groundwater volume was due to leakage of aquitard pore waters .,replaced sentence is : Preliminary mass balance modelling suggests that between 10 and 38% of groundwater volume was due to leakage of aquitard HydrochemicalType .
replace entity to label : Isotope and chemical data were used to analyze the hydrochemical evolution of Ordovician groundwater in the research area .,replaced sentence is : Isotope and chemical data were used to analyze the hydrochemical evolution of HydrochemicalType in the research area .
replace entity to label : The presence of nitrate and chloride contents in pore water reduced the resistivity values despite the low moisture content .,replaced sentence is : The presence of nitrate and chloride contents in HydrochemicalType reduced the resistivity values despite the low moisture content .
