Source sentence,Answer sentence
replace entity to label : The types of shallow water in Tongchuan City are mainly HCO3 center dot SO4-Ca .,replaced sentence is : The types of GroundwaterType in Location are mainly HydrochemicalType .
replace entity to label : The chemical interaction between groundwater and the aquifer materials led to the formation of calcium bicarbonate type water .,replaced sentence is : The chemical interaction between groundwater and the aquifer materials led to the formation of HydrochemicalType type water .
replace entity to label : The shallow alluvium aquifer groundwater contamination has been partly diluted by the Delice River waters .,replaced sentence is : The GroundwaterType contamination has been partly diluted by the Location waters .
"replace entity to label : The total dissolved solids ( TDS ) content ranges from 1005 to 19 ,254 mgl ( -1 ) with a mean value of 3477.18 mgl ( -1 ) .","replaced sentence is : The total dissolved solids ( TDS ) content ranges from 1005 to 19 ,254 mgl ( -1 ) with a mean value of 3477.18 mgl ( -1 ) ."
"replace entity to label : Two karstic discharge areas , Rio Verde ( RV ) and Cienega de Cabezas ( CC ) are chosen to determine the influence of local variations in geology and climatic condition on water chemistry .","replaced sentence is : Two karstic discharge areas , Location ( RV ) and Location ( CC ) are chosen to determine the influence of local variations in geology and climatic condition on water chemistry ."
"replace entity to label : The groundwater samples have been classified into four clusters ( using hierarchical cluster analysis ) , these match the variety of total dissolvable solids , water types and ionic orders .","replaced sentence is : The groundwater samples have been classified into four clusters ( using hierarchical cluster analysis ) , these match the variety of total dissolvable solids , water types and ionic orders ."
"replace entity to label : Groundwaters were analysed for elemental ( major , minor and trace ) and isotopic ( delta O-18 / delta H-2 ; delta C-13-DIC ; delta S-34-SO4 ; Sr-87 / Sr-86 ) constituents to which various hydrochemical and multivariate statistical methods have been applied .","replaced sentence is : Groundwaters were analysed for elemental ( major , minor and trace ) and isotopic ( delta O-18 / delta H-2 ; delta C-13-DIC ; delta S-34-SO4 ; Sr-87 / Sr-86 ) constituents to which various hydrochemical and multivariate statistical methods have been applied ."
"replace entity to label : The hydrochemical characteristics of groundwater in the island of Lesvos , Greece , were studied based on chemical analyses of groundwater samples collected from 30 locations covering all the island's major aquifers hosted in different lithological formations .","replaced sentence is : The hydrochemical characteristics of groundwater in the island of Location , Location , were studied based on chemical analyses of groundwater samples collected from 30 locations covering all the island's major aquifers hosted in different lithological formations ."
replace entity to label : Water-level changes in Trinity aquifer also had significant negative impact on water quality .,replaced sentence is : Water-level changes in AquiferType also had significant negative impact on water quality .
"replace entity to label : Therefore , the water of these boreholes must be defluorinated before use for drinking .","replaced sentence is : Therefore , the water of these boreholes must be defluorinated before use for drinking ."
"replace entity to label : Hydrogeochemical investigation of groundwater has been carried out in the coastal aquifers of southern Tamil Nadu , India .","replaced sentence is : Hydrogeochemical investigation of groundwater has been carried out in the AquiferType of Location , Location ."
"replace entity to label : This work investigated the seasonal hydrochemical evolution of coastal groundwater resources in Urmia plain , NW Iran .","replaced sentence is : This work investigated the seasonal hydrochemical evolution of GroundwaterType resources in Location , Location ."
